source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,mr. pontellier,Mr. Pontellier,404,418,5
booknlp,COREF,49,his,435,438,5
booknlp,COREF,49,He,534,536,5
exp,exp_name,lebrun,Lebrun,613,619,15
booknlp,COREF,49,He,649,651,5
exp,exp_name,madame lebrun,Madame Lebrun,756,769,6
exp,exp_name,mr. pontellier,Mr. Pontellier,829,843,5
booknlp,COREF,49,He,926,928,5
booknlp,COREF,49,his,956,959,5
booknlp,COREF,49,himself,1051,1058,5
booknlp,COREF,49,he,1095,1097,5
booknlp,COREF,49,himself,1116,1123,5
booknlp,COREF,49,He,1257,1259,5
booknlp,COREF,49,he,1312,1314,5
booknlp,COREF,49,he,1377,1379,5
exp,exp_name,mr. pontellier,Mr. Pontellier,1450,1464,5
booknlp,COREF,49,He,1483,1485,5
booknlp,COREF,49,he,1549,1551,5
booknlp,COREF,49,His,1570,1573,5
booknlp,COREF,49,His,1623,1626,5
booknlp,COREF,49,he,1682,1684,5
booknlp,COREF,49,his,1694,1697,5
booknlp,COREF,49,him,1741,1744,5
exp,exp_name,madame lebrun,Madame Lebrun,2013,2026,6
exp,exp_name,mr. pontellier,Mr. Pontellier,2633,2647,5
exp,exp_name,mr. pontellier,Mr. Pontellier,2784,2798,5
booknlp,COREF,49,his,2872,2875,5
booknlp,COREF,49,He,2882,2884,5
booknlp,COREF,49,his,2891,2894,5
booknlp,COREF,49,He,2973,2975,5
booknlp,COREF,49,his,3233,3236,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,3243,3258,3
exp,exp_name,robert lebrun,Robert Lebrun,3270,3283,15
exp,exp_name,mr. pontellier,Mr. Pontellier,3531,3545,5
booknlp,COREF,49,He,3547,3549,5
booknlp,COREF,49,himself,3550,3557,5
booknlp,COREF,49,him,3630,3633,5
pdnc,qID,Q1-0,You,3637,3640,3
booknlp,COREF,49,he,3672,3674,5
booknlp,COREF,49,his,3693,3696,5
booknlp,COREF,49,him,4046,4049,5
booknlp,COREF,49,he,4055,4057,5
booknlp,COREF,49,his,4094,4097,5
exp,exp_name,robert,Robert,4228,4234,15
booknlp,COREF,49,He,4292,4294,5
exp,exp_name,pontellier,Pontellier,4346,4356,5
exp,exp_name,mr. pontellier,Mr. Pontellier,4590,4604,5
booknlp,COREF,49,He,4606,4608,5
booknlp,COREF,49,himself,4630,4637,5
booknlp,COREF,49,he,4644,4646,5
booknlp,COREF,49,he,4662,4664,5
pdnc,qID,Q3-0,Lebrun,4756,4762,15
booknlp,COREF,49,he,4765,4767,5
exp,exp_name,robert,Robert,4780,4786,15
exp,exp_name,robert,Robert,4792,4798,15
booknlp,COREF,53,he,4827,4829,15
booknlp,COREF,53,he,4854,4856,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,4873,4888,3
pdnc,qID,Q4-0,him,4903,4906,15
pdnc,qID,Q4-0,his,4913,4916,15
pdnc,qID,Q4-0,he,4931,4933,15
pdnc,qID,Q4-0,you,4940,4943,3
pdnc,qID,Q4-0,Edna,4945,4949,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,5732,5747,3
exp,exp_name,robert,Robert,6278,6284,15
booknlp,COREF,53,He,6305,6307,15
booknlp,COREF,53,he,6334,6336,15
booknlp,COREF,53,he,6362,6364,15
booknlp,COREF,53,He,6371,6373,15
booknlp,COREF,53,his,6389,6392,15
exp,exp_name,mr. pontellier,Mr. Pontellier,6406,6420,5
booknlp,COREF,53,him,6435,6438,15
booknlp,COREF,53,he,6449,6451,15
booknlp,COREF,53,his,6470,6473,15
booknlp,COREF,53,his,6535,6538,15
booknlp,COREF,53,he,6557,6559,15
booknlp,COREF,53,his,6575,6578,15
booknlp,COREF,53,his,6718,6721,15
booknlp,COREF,53,His,6740,6743,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,6817,6832,3
exp,exp_name,robert,Robert,6920,6926,15
booknlp,COREF,53,his,6940,6943,15
booknlp,COREF,53,his,6966,6969,15
exp,exp_name,robert,Robert,7337,7343,15
booknlp,COREF,53,himself,7369,7376,15
booknlp,COREF,53,He,7378,7380,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,7426,7441,3
exp,exp_name,robert,Robert,7537,7543,15
booknlp,COREF,53,his,7553,7556,15
booknlp,COREF,53,him,7620,7623,15
booknlp,COREF,53,He,7625,7627,15
booknlp,COREF,53,he,7706,7708,15
booknlp,COREF,53,his,7720,7723,15
booknlp,COREF,53,him,7843,7846,15
booknlp,COREF,53,He,7893,7895,15
booknlp,COREF,53,his,7909,7912,15
booknlp,COREF,53,he,7933,7935,15
booknlp,COREF,53,his,7953,7956,15
exp,exp_name,robert,Robert,8003,8009,15
exp,exp_name,madame lebrun,Madame Lebrun,8215,8228,6
exp,exp_name,mrs. pontellier,Mrs. Pontellier,8314,8329,3
exp,exp_name,robert,Robert,8648,8654,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,8800,8815,3
pdnc,qID,Q7-0,L once,8893,8899,5
exp,exp_name,robert,Robert,8997,9003,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,9095,9110,3
exp,exp_name,pontellier,Pontellier,9296,9306,5
exp,exp_name,mr. pontellier,Mr. Pontellier,9388,9402,5
booknlp,COREF,49,He,9432,9434,5
booknlp,COREF,49,His,9499,9502,5
booknlp,COREF,49,his,9518,9521,5
booknlp,COREF,49,he,9564,9566,5
booknlp,COREF,49,He,9576,9578,5
booknlp,COREF,49,he,9599,9601,5
booknlp,COREF,49,he,9668,9670,5
booknlp,COREF,49,his,9705,9708,5
booknlp,COREF,49,he,9726,9728,5
booknlp,COREF,49,he,9805,9807,5
booknlp,COREF,49,his,9913,9916,5
booknlp,COREF,49,him,9968,9971,5
booknlp,COREF,49,He,10002,10004,5
booknlp,COREF,49,his,10039,10042,5
booknlp,COREF,49,his,10076,10079,5
booknlp,COREF,49,him,10144,10147,5
booknlp,COREF,49,his,10170,10173,5
exp,exp_name,mr. pontellier,Mr. Pontellier,10189,10203,5
booknlp,COREF,49,he,10272,10274,5
booknlp,COREF,49,his,10434,10437,5
booknlp,COREF,49,He,10479,10481,5
exp,exp_name,mr. pontellier,Mr. Pontellier,10596,10610,5
booknlp,COREF,49,his,10623,10626,5
booknlp,COREF,49,he,10712,10714,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,10777,10792,3
exp,exp_name,mr. pontellier,Mr. Pontellier,10908,10922,5
booknlp,COREF,49,He,10983,10985,5
booknlp,COREF,49,He,11056,11058,5
booknlp,COREF,49,his,11070,11073,5
booknlp,COREF,49,He,11217,11219,5
booknlp,COREF,49,himself,11220,11227,5
booknlp,COREF,49,his,11232,11235,5
booknlp,COREF,49,his,11252,11255,5
booknlp,COREF,49,He,11276,11278,5
booknlp,COREF,49,his,11335,11338,5
booknlp,COREF,49,He,11414,11416,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,11457,11472,3
booknlp,COREF,49,his,11689,11692,5
booknlp,COREF,49,he,11714,11716,5
booknlp,COREF,49,he,11751,11753,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,11772,11787,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,12504,12519,3
exp,exp_name,mr. pontellier,Mr. Pontellier,13874,13888,5
booknlp,COREF,49,him,13950,13953,5
booknlp,COREF,49,He,13983,13985,5
booknlp,COREF,49,his,14015,14018,5
booknlp,COREF,49,him,14052,14055,5
booknlp,COREF,49,He,14102,14104,5
booknlp,COREF,49,his,14118,14121,5
booknlp,COREF,49,He,14195,14197,5
booknlp,COREF,49,he,14223,14225,5
exp,exp_name,mr. pontellier,Mr. Pontellier,14281,14295,5
booknlp,COREF,49,his,14301,14304,5
booknlp,COREF,49,he,14334,14336,5
pdnc,qID,Q9-0,my dear,14657,14664,3
booknlp,COREF,49,he,14667,14669,5
booknlp,COREF,49,he,14682,14684,5
booknlp,COREF,49,his,14758,14761,5
exp,exp_name,mr. pontellier,Mr. Pontellier,14824,14838,5
booknlp,COREF,49,him,14939,14942,5
booknlp,COREF,49,His,14944,14947,5
booknlp,COREF,49,he,15001,15003,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,15093,15108,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,15316,15331,3
exp,exp_name,mr. pontellier,Mr. Pontellier,15641,15655,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,15691,15706,3
exp,exp_name,mr. pontellier,Mr. Pontellier,15804,15818,5
booknlp,COREF,49,his,15832,15835,5
booknlp,COREF,49,his,15879,15882,5
booknlp,COREF,49,he,15953,15955,5
booknlp,COREF,49,he,15988,15990,5
exp,exp_name,pontellier,Pontellier,16085,16095,5
exp,exp_name,mrs. pontellier,Mrs. Pontellier,16708,16723,3
exp,exp_name,ratignolle,Ratignolle,17342,17352,0
exp,exp_name,madame ratignolle,Madame Ratignolle,18303,18320,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,18338,18353,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,18675,18690,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,19007,19022,3
exp,exp_name,madame ratignolle,Madame Ratignolle,19375,19392,0
exp,exp_name,robert,Robert,19456,19462,15
booknlp,COREF,53,he,19484,19486,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,19519,19534,3
exp,exp_name,madame ratignolle,Madame Ratignolle,19693,19710,0
exp,exp_name,madame ratignolle,Madame Ratignolle,19876,19893,0
exp,exp_name,robert,Robert,20239,20245,15
booknlp,COREF,53,he,20286,20288,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,20386,20401,3
booknlp,COREF,53,he,20409,20411,15
booknlp,COREF,53,himself,20420,20427,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,20454,20469,3
exp,exp_name,lebrun,Lebrun,20656,20662,15
