qID,menText,start_byte,end_byte,matches,pdncID
Q1-0,your,1920,1924,[24],24
Q1-0,sir,1939,1942,[24],24
Q3-0,sir,2382,2385,[24],24
Q3-1,you,2404,2407,[24],24
Q4-0,Your,2946,2950,[24],24
Q4-0,sir,2968,2971,[24],24
Q5-0,you,2982,2985,[15],15
Q10-0,sir,5809,5812,[24],24
Q11-0,you,5871,5874,[15],15
Q12-0,sir,5976,5979,[24],24
Q14-0,The poor soul,6961,6974,[24],24
Q15-0,he,7218,7220,[24],24
Q16-0,his,7356,7359,[24],24
Q16-0,his,7412,7415,[24],24
Q20-0,sir,8788,8791,[24],24
Q21-0,sir,8998,9001,[24],24
Q23-0,sir,9372,9375,[24],24
Q23-0,You,9377,9380,[24],24
Q23-0,sir,9445,9448,[24],24
Q25-0,sir,9581,9584,[24],24
Q27-0,sir,9713,9716,[24],24
Q27-0,sir,9864,9867,[24],24
Q27-0,sir,9935,9938,[24],24
Q28-0,you,9948,9951,[15],15
Q30-0,Mrs. Hall,11322,11331,[15],15
Q31-0,you,11493,11496,[17],17
Q31-0,Mr. Teddy,11506,11515,[17],17
Q31-1,you,11544,11547,[17],17
Q32-0,you,12872,12875,[24],24
Q32-0,sir,12882,12885,[24],24
Q32-0,this man,12887,12895,[17],17
Q32-0,sir,12927,12930,[24],24
Q40-0,sir,13673,13676,[24],24
Q40-1,you,13696,13699,[24],24
Q42-4,You,14623,14626,[15],15
Q52-0,sir,15724,15727,[24],24
Q56-0,sir,17520,17523,[7],7
Q58-0,you,17800,17803,[24],24
Q59-0,you,17870,17873,[24],24
Q59-0,you,17874,17877,[24],24
Q60-0,Teddy,18271,18276,[17],17
Q61-0,You,18299,18302,[7],7
Q63-0,Rum-looking customer,18396,18416,[24],24
Q64-1,He,18734,18736,[24],24
Q64-1,your,18744,18748,[7],7
Q64-1,he,18759,18761,[24],24
Q64-1,Hall,18787,18791,[7],7
Q65-0,You,18796,18799,[17],17
Q66-1,he,18909,18911,[24],24
Q66-1,you,18916,18919,[7],7
Q66-1,him,18937,18940,[24],24
Q66-1,he,18961,18963,[24],24
Q66-1,he,19008,19010,[24],24
Q66-1,Hall,19057,19061,[7],7
Q69-0,You,20274,20277,[7],7
Q69-0,your,20283,20287,[7],7
Q69-0,Hall,20302,20306,[7],7
Q74-0,He,23055,23057,[24],24
